generator_name,feature_set_name,feature_columns,num_features,hidden_layers,num_hidden_layers,total_hidden_neurons,fold_validation_losses,mean_validation_loss,std_validation_loss,mean_best_epoch,k_folds,status,warning
W1,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4, 4]",3,12,"[8.598097695450357e-07, 3.641137529503756e-07, 5.012814096846294e-07]",5.750683107266803e-07,2.089848723249212e-07,21.0,3,valid,
W1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4]",2,8,"[1.262694618884246e-07, 1.7487345532341813e-07, 4.8990175738696e-07]",2.636815581996009e-07,1.6118782198568545e-07,66.66666666666667,3,valid,
W1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 8]",2,16,"[9.09631004576082e-07, 8.089136214922344e-07, 4.6166440160804376e-07]",7.267363425587868e-07,1.9189119872705688e-07,46.333333333333336,3,valid,
W1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[11, 11]",2,22,"[3.457180241866355e-07, 8.029407822931773e-07, 1.6999700287706364e-07]",4.3955193645229217e-07,2.667808829903893e-07,33.333333333333336,3,valid,
W1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 4]",2,12,"[7.386885510619366e-07, 5.046560556854661e-07, 6.208532636538807e-07]",6.213992901337611e-07,9.55441462770726e-08,81.33333333333333,3,valid,
W1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 8]",2,12,"[4.1640892280378023e-07, 5.680631685497579e-07, 1.761507763500089e-07]",3.868742892345157e-07,1.6135478863875409e-07,35.333333333333336,3,valid,
W1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4, 4]",3,12,"[9.366668101863039e-08, 3.3782831510275635e-07, 4.4554697736140705e-07]",2.923473244942646e-07,1.4721033957938636e-07,7.333333333333333,3,valid,
W2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4]",2,8,"[0.0003715059046844762, 0.00026270388243320266, 0.0001586251939541793]",0.00026427832702395274,8.691531666737877e-05,13.666666666666666,3,valid,
W2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 8]",2,16,"[0.00014943749283112355, 0.00011145317362869303, 7.235869101675625e-05]",0.00011108311915885762,3.1468377010554704e-05,63.0,3,valid,
W2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[11, 11]",2,22,"[0.0001480657884829038, 0.00011022257821738374, 7.513077091142216e-05]",0.00011113971253723656,2.9782657689317257e-05,143.33333333333334,3,valid,
